	phylum	class	order	family	genus	species	taxon
10530	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Thalassolituus	Thalassolituus oleivorans	Thalassolituus oleivorans R6-15
13035	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio chagasii	Vibrio chagasii
13139	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio parahaemolyticus	Vibrio parahaemolyticus O1:Kuk str. FDA_R31
13253	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Photobacterium	Photobacterium profundum	Photobacterium profundum SS9
13265	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas sp. RKMC-009	Alteromonas sp. RKMC-009
13319	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae			Alteromonadaceae
1075	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas		Roseomonas
4998	Chloroflexi <phylum>	Anaerolineae	Anaerolineales	Anaerolineaceae	Pelolinea	Pelolinea submarina	Pelolinea submarina
8349	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Chondromyces	Chondromyces crocatus	Chondromyces crocatus
9805	Proteobacteria	Gammaproteobacteria					Gammaproteobacteria
13279	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas mediterranea	Alteromonas mediterranea
162	Proteobacteria	Alphaproteobacteria					Alphaproteobacteria
372	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Hyphomonadaceae	Glycocaulis	Glycocaulis alkaliphilus	Glycocaulis alkaliphilus
413	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Tabrizicola	Tabrizicola sp. K13M18	Tabrizicola sp. K13M18
1032	Proteobacteria	Alphaproteobacteria	Pelagibacterales				Pelagibacterales
1316	Cyanobacteria		Oscillatoriales	Coleofasciculaceae	Geitlerinema	Geitlerinema sp. PCC 7407	Geitlerinema sp. PCC 7407
1749	Firmicutes	Clostridia	Clostridiales				Clostridiales
1870	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium chauvoei	Clostridium chauvoei
1941	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Alkaliphilus	Alkaliphilus metalliredigens	Alkaliphilus metalliredigens QYMF
4863	Firmicutes	Clostridia	Halanaerobiales				Halanaerobiales
6635	Gemmatimonadetes <phylum>	Gemmatimonadetes <class>	Gemmatimonadales	Gemmatimonadaceae			Gemmatimonadaceae
6780	Bacteroidetes <phylum>	Flavobacteriia	Flavobacteriales	Flavobacteriaceae		Flavobacteriaceae bacterium 10Alg115	Flavobacteriaceae bacterium 10Alg115
6804	Bacteroidetes <phylum>	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Muriicola	Muriicola sp. MMS17-SY002	Muriicola sp. MMS17-SY002
7173	Bacteroidetes <phylum>	Bacteroidia	Bacteroidales			Bacteroidales bacterium CF	Bacteroidales bacterium CF
7354	Bacteroidetes <phylum>	Bacteroidia	Marinilabiliales	Salinivirgaceae	Salinivirga	Salinivirga cyanobacteriivorans	Salinivirga cyanobacteriivorans
7355	Bacteroidetes <phylum>	Bacteroidia					Bacteroidia
7426	Bacteroidetes <phylum>	Cytophagia	Cytophagales	Cytophagaceae	Cytophaga	Cytophaga hutchinsonii	Cytophaga hutchinsonii ATCC 33406
7546							Bacteria <prokaryotes>
7754	Elusimicrobia <phylum>	Elusimicrobia <class>	Elusimicrobiales	Elusimicrobiaceae	Elusimicrobium	Elusimicrobium minutum	Elusimicrobium minutum Pei191
7763							Bacteria <prokaryotes>
8216							Bacteria <prokaryotes>
8581	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Thiobacillaceae	Thiobacillus	Thiobacillus denitrificans	Thiobacillus denitrificans ATCC 25259
9534	Proteobacteria						Proteobacteria
9681	Proteobacteria	Gammaproteobacteria					Gammaproteobacteria
9684	Proteobacteria	Gammaproteobacteria					Gammaproteobacteria
9794	Proteobacteria	Gammaproteobacteria					sulfur-oxidizing symbionts
10003	Proteobacteria	Gammaproteobacteria					Gammaproteobacteria
10707	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Oceanimonas	Oceanimonas sp. GK1	Oceanimonas sp. GK1
13020	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Salinivibrio		Salinivibrio
13119	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio campbellii	Vibrio campbellii ATCC BAA-1116
13416	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas		Pseudoalteromonas
13441	Proteobacteria	Gammaproteobacteria	Cellvibrionales				Cellvibrionales
161	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	Terasakiella	Terasakiella sp. SH-1	Terasakiella sp. SH-1
1771	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family IV. Incertae Sedis	Mahella	Mahella australiensis	Mahella australiensis 50-1 BON
4962							Bacteria <prokaryotes>
4994	Chloroflexi <phylum>	Dehalococcoidia					Dehalococcoidia
5023	Actinobacteria <phylum>	Coriobacteriia					Coriobacteriia
7071	Bacteroidetes <phylum>	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium	Chryseobacterium sp. 6424	Chryseobacterium sp. 6424
8284	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	Geobacter sulfurreducens	Geobacter sulfurreducens PCA
8947	Proteobacteria	Betaproteobacteria	Burkholderiales		Leptothrix <Bacteria>	Leptothrix cholodnii	Leptothrix cholodnii SP-6
10024	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Marinobacter		Marinobacter
10038	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alcanivorax		Alcanivorax
10596	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Candidatus Carsonella	Candidatus Carsonella ruddii	Candidatus Carsonella ruddii
13462	Proteobacteria	Gammaproteobacteria					Gammaproteobacteria
13481	Proteobacteria						Proteobacteria
489	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae			Rhodobacteraceae
895	Proteobacteria	Alphaproteobacteria	Rickettsiales	Candidatus Midichloriaceae	Candidatus Fokinia	Candidatus Fokinia solitaria	Candidatus Fokinia solitaria
6870	Bacteroidetes <phylum>	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Nonlabens	Nonlabens sediminis	Nonlabens sediminis
6882	Bacteroidetes <phylum>	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Gramella	Gramella forsetii	Gramella forsetii KT0803
6890	Bacteroidetes <phylum>	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Psychroflexus	Psychroflexus torquis	Psychroflexus torquis ATCC 700755
7607	Chlamydiae <phylum>	Chlamydiia	Parachlamydiales				Parachlamydiales
10572	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	Halomonas venusta	Halomonas venusta
13403	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas		Pseudoalteromonas
1424	Cyanobacteria						Cyanobacteria
1479	Cyanobacteria		Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. CC9902	Synechococcus sp. CC9902
1491	Cyanobacteria		Synechococcales	Prochloraceae	Prochlorococcus	Prochlorococcus marinus	Prochlorococcus marinus str. MIT 9215
1517	Cyanobacteria		Synechococcales				Synechococcales
6616	Actinobacteria <phylum>						Actinobacteria <phylum>
6695	Bacteroidetes <phylum>	Flavobacteriia	Flavobacteriales	Ichthyobacteriaceae	Ichthyobacterium	Ichthyobacterium seriolicida	Ichthyobacterium seriolicida
10526	Proteobacteria	Gammaproteobacteria					Gammaproteobacteria
13025	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae			Vibrionaceae
13195	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio vulnificus	Vibrio vulnificus
13228	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio		Vibrio
13233	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio		Vibrio
13243	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio		Vibrio
13349	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae			Colwelliaceae
487	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		Rhodobacteraceae bacterium	Rhodobacteraceae bacterium
828	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae			Caulobacteraceae
1691	Firmicutes	Limnochordia	Limnochordales	Limnochordaceae	Limnochorda	Limnochorda pilosa	Limnochorda pilosa
4320	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelothrix		Erysipelothrix
4930	Firmicutes	Negativicutes					Negativicutes
7183	Bacteroidetes <phylum>	Bacteroidia	Bacteroidales	Paludibacteraceae	Paludibacter	Paludibacter propionicigenes	Paludibacter propionicigenes WB4
7976	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae			Campylobacteraceae
8607	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas		Nitrosomonas
8802	Proteobacteria	Betaproteobacteria					Betaproteobacteria
10548	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Saccharospirillaceae			Saccharospirillaceae
225	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Erythrobacter	Erythrobacter gangjinensis	Erythrobacter gangjinensis
411	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	Rhodobacter capsulatus	Rhodobacter capsulatus SB 1003
628	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer <bacterium>	Ensifer adhaerens	Ensifer adhaerens
781	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia	Devosia sp. A16	Devosia sp. A16
841	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Rhodospirillum	Rhodospirillum rubrum	Rhodospirillum rubrum ATCC 11170
1028	Proteobacteria	Alphaproteobacteria	Pelagibacterales		Candidatus Fonsibacter	Candidatus Fonsibacter ubiquis	Candidatus Fonsibacter ubiquis
4201	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae			Mycoplasmataceae
4308	Tenericutes	Mollicutes					Mollicutes
4864	Firmicutes	Clostridia	Halanaerobiales				Halanaerobiales
4918	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Selenomonas	Selenomonas sputigena	Selenomonas sputigena ATCC 35185
4968	Chloroflexi <phylum>	Chloroflexia	Chloroflexales	Chloroflexaceae	Chloroflexus		Chloroflexus
5057	Actinobacteria <phylum>	Nitriliruptoria					Nitriliruptoria
6376	Actinobacteria <phylum>	Actinobacteria <class>	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium chitae	Mycolicibacterium chitae
7713	Verrucomicrobia						Verrucomicrobia
8635	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Aquaspirillum	Aquaspirillum sp. LM1	Aquaspirillum sp. LM1
9012	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Verminephrobacter	Verminephrobacter eiseniae	Verminephrobacter eiseniae EF01-2
10516	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae			Pseudomonadaceae
10532	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Thalassolituus	Thalassolituus oleivorans	Thalassolituus oleivorans
7606	Chlamydiae <phylum>	Chlamydiia	Parachlamydiales				Parachlamydiales
9802	Proteobacteria	Gammaproteobacteria			Candidatus Thioglobus	Candidatus Thioglobus singularis	Candidatus Thioglobus singularis
7582	Planctomycetes <phylum>	Planctomycetia	Planctomycetales	Planctomycetaceae			Planctomycetaceae
8399	Proteobacteria	Gammaproteobacteria	Acidiferrobacterales	Acidiferrobacteraceae	Acidiferrobacter	Acidiferrobacter sp. SPIII_3	Acidiferrobacter sp. SPIII_3
1682	Firmicutes	Clostridia	Thermoanaerobacterales				Thermoanaerobacterales
1695	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Thermacetogenium	Thermacetogenium phaeum	Thermacetogenium phaeum DSM 12270
6449	Actinobacteria <phylum>	Actinobacteria <class>	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium shigaense	Mycobacterium shigaense
6615	Actinobacteria <phylum>						Actinobacteria <phylum>
7781							Bacteria candidate phyla
9667	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Acidihalobacter	Acidihalobacter prosperus	Acidihalobacter prosperus
9685	Proteobacteria	Gammaproteobacteria					Gammaproteobacteria
13433	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Microbulbiferaceae	Microbulbifer		Microbulbifer
1178	Deinococcus-Thermus	Deinococci					Deinococci
1956	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Acetoanaerobium	Acetoanaerobium sticklandii	Acetoanaerobium sticklandii
6833	Bacteroidetes <phylum>	Flavobacteriia	Flavobacteriales	Flavobacteriaceae			Flavobacteriaceae
8322	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfatibacillum	Desulfatibacillum aliphaticivorans	Desulfatibacillum aliphaticivorans
13074	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio		Vibrio
1518	Cyanobacteria		Synechococcales				Synechococcales
1892	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium		Clostridium
1982	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile	Clostridioides difficile
6421	Actinobacteria <phylum>	Actinobacteria <class>	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium haemophilum	Mycobacterium haemophilum DSM 44634
6946	Bacteroidetes <phylum>	Flavobacteriia	Flavobacteriales	Flavobacteriaceae			Flavobacteriaceae
8274	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Desulfuromonas		Desulfuromonas
167	Proteobacteria	Alphaproteobacteria	Emcibacterales	Emcibacteraceae	Emcibacter		Emcibacter
594	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Aminobacter	Aminobacter sp. MSH1	Aminobacter sp. MSH1
1204	Spirochaetes <phylum>	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella bavariensis	Borreliella bavariensis PBi
4932	Firmicutes					endosymbiont 'TC1' of Trimyema compressum	endosymbiont 'TC1' of Trimyema compressum
9570	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae			Chromatiaceae
10032	Proteobacteria	Gammaproteobacteria					Gammaproteobacteria
12526	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Candidatus Moranella	Candidatus Moranella endobia	Candidatus Moranella endobia PCIT
7790	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae			Helicobacteraceae
13321	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae			Alteromonadaceae
4861	Firmicutes	Clostridia	Halanaerobiales	Halobacteroidaceae	Halobacteroides	Halobacteroides halobius	Halobacteroides halobius DSM 5150
7778	Candidatus Saccharibacteria						Candidatus Saccharibacteria
7427	Bacteroidetes <phylum>	Cytophagia	Cytophagales		Chryseolinea	Chryseolinea sp. KIS68-18	Chryseolinea sp. KIS68-18
427	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	Rhodobacter sp. CZR27	Rhodobacter sp. CZR27
1441	Cyanobacteria						Cyanobacteria
4971	Chloroflexi <phylum>	Chloroflexia	Chloroflexales	Roseiflexaceae	Roseiflexus		Roseiflexus
5377	Actinobacteria <phylum>						Actinobacteria <phylum>
6732	Bacteroidetes <phylum>	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium sp. GS13	Flavobacterium sp. GS13
7179	Bacteroidetes <phylum>	Bacteroidia	Bacteroidales				Bacteroidales
7460	Bacteroidetes <phylum>	Cytophagia	Cytophagales	Cytophagaceae			Cytophagaceae
7579	Planctomycetes <phylum>	Planctomycetia	Planctomycetales	Gemmataceae	Gemmata		Gemmata
7707	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Lacunisphaera	Lacunisphaera limnophila	Lacunisphaera limnophila
8378	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus		Myxococcus
8382	Proteobacteria	Deltaproteobacteria	Myxococcales				Cystobacterineae
8442	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Luteimonas	Luteimonas sp. 83-4	Luteimonas sp. 83-4
8613	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae			Nitrosomonadaceae
8626	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Methylophilaceae			Methylophilaceae
8939	Proteobacteria	Betaproteobacteria	Burkholderiales		Inhella	Inhella inkyongensis	Inhella inkyongensis
8962	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ramlibacter	Ramlibacter tataouinensis	Ramlibacter tataouinensis TTB310
8983	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Limnohabitans	Limnohabitans sp. 103DPR2	Limnohabitans sp. 103DPR2
8992	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax	Rhodoferax antarcticus	Rhodoferax antarcticus
8995	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax	Rhodoferax koreense	Rhodoferax koreense
9013	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. JS42	Acidovorax sp. JS42
9014	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Alicycliphilus	Alicycliphilus denitrificans	Alicycliphilus denitrificans BC
9027	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax carolinensis	Acidovorax carolinensis
9032	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Simplicispira	Simplicispira suum	Simplicispira suum
9391	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae			Burkholderiaceae
9484	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Herbaspirillum	Herbaspirillum sp. meg3	Herbaspirillum sp. meg3
9498	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Sterolibacteriaceae			unclassified Sterolibacteriaceae
9531	Proteobacteria	Betaproteobacteria					Betaproteobacteria
9698	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomicrobium		Methylomicrobium
12462	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Candidatus Blochmannia	Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus	Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus
357	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhodobiaceae	Parvibaculum	Parvibaculum lavamentivorans	Parvibaculum lavamentivorans DS-1
6683	Bacteroidetes <phylum>		Bacteroidetes Order II. Incertae sedis	Rhodothermaceae	Salinibacter	Salinibacter ruber	Salinibacter ruber
68	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylovirgula	Methylovirgula ligni	Methylovirgula ligni
2049	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerotignum	Anaerotignum propionicum	Anaerotignum propionicum DSM 1682
2050	Firmicutes	Clostridia	Clostridiales				Clostridiales
7347	Bacteroidetes <phylum>	Bacteroidia	Bacteroidales	Odoribacteraceae	Odoribacter	Odoribacter splanchnicus	Odoribacter splanchnicus DSM 20712
461	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Yoonia	Yoonia vestfoldensis	Yoonia vestfoldensis
9917	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter junii	Acinetobacter junii
166	Proteobacteria	Alphaproteobacteria	Emcibacterales	Emcibacteraceae	Emcibacter	Emcibacter congregatus	Emcibacter congregatus
6798	Bacteroidetes <phylum>	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Cellulophaga	Cellulophaga lytica	Cellulophaga lytica
8385	Proteobacteria	Deltaproteobacteria	Myxococcales				Myxococcales
896	Proteobacteria	Alphaproteobacteria	Rickettsiales	Candidatus Midichloriaceae			Candidatus Midichloriaceae
8204	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae			Helicobacteraceae
9982	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter nosocomialis	Acinetobacter nosocomialis M2
8223	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfomicrobiaceae	Desulfomicrobium	Desulfomicrobium baculatum	Desulfomicrobium baculatum DSM 4028
9574	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella endosymbiont of Polyplax serrata	Legionella endosymbiont of Polyplax serrata
13356	Proteobacteria	Gammaproteobacteria	Alteromonadales	Idiomarinaceae	Idiomarina		Idiomarina
7522	Bacteroidetes <phylum>	Cytophagia	Cytophagales	Persicobacteraceae	Persicobacter	Persicobacter sp. JZB09	Persicobacter sp. JZB09
7714	Verrucomicrobia						Verrucomicrobia
8246	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio ferrophilus	Desulfovibrio ferrophilus
1307	Spirochaetes <phylum>	Spirochaetia	Leptospirales	Leptospiraceae			Leptospiraceae
1527	Cyanobacteria						Cyanobacteria
9545	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Beggiatoa	Beggiatoa leptomitoformis	Beggiatoa leptomitoformis
791	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Asticcacaulis	Asticcacaulis excentricus	Asticcacaulis excentricus CB 48
928	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Rickettsia canadensis	Rickettsia canadensis
4035	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma pulmonis	Mycoplasma pulmonis UAB CTIP
5005	Chloroflexi <phylum>						Chloroflexi <phylum>
7521	Bacteroidetes <phylum>	Cytophagia	Cytophagales	Flammeovirgaceae	Flammeovirga		Flammeovirga
60	Proteobacteria	Alphaproteobacteria	Rhizobiales				Rhizobiales
240	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Porphyrobacter		Porphyrobacter
371	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Hyphomonadaceae	Maricaulis	Maricaulis maris	Maricaulis maris MCS10
515	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Phaeobacter	Phaeobacter inhibens	Phaeobacter inhibens 2.10
705	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium sp. RAC06	Agrobacterium sp. RAC06
1081	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Commensalibacter	Commensalibacter sp. AMU001	Commensalibacter sp. AMU001
1426	Cyanobacteria		Chroococcales	Cyanobacteriaceae	Cyanobacterium	Cyanobacterium aponinum	Cyanobacterium aponinum PCC 10605
1735	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii	Faecalibacterium prausnitzii
4144	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Candidatus Hepatoplasma	Candidatus Hepatoplasma crinochetorum	Candidatus Hepatoplasma crinochetorum Av
8316	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae			Desulfobulbaceae
8928	Proteobacteria	Betaproteobacteria					Betaproteobacteria
9549	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylocaldum	Methylocaldum marinum	Methylocaldum marinum
10697	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella amazonensis	Shewanella amazonensis SB2B
13012	Proteobacteria	Gammaproteobacteria	Alteromonadales	Moritellaceae	Moritella		Moritella
13176	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio cholerae	Vibrio cholerae
13199	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio vulnificus	Vibrio vulnificus
13360	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas tunicata	Pseudoalteromonas tunicata
175	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Novosphingobium sp. ABRDHK2	Novosphingobium sp. ABRDHK2
7825	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae			Arcobacter group
385	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		Rhodobacteraceae bacterium QY30	Rhodobacteraceae bacterium QY30
852	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae			Rhodospirillaceae
857	Proteobacteria	Alphaproteobacteria					Alphaproteobacteria
997	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae			Anaplasmataceae
1376	Cyanobacteria					cyanobacterium endosymbiont of Rhopalodia gibberula	cyanobacterium endosymbiont of Rhopalodia gibberula
4963							Bacteria <prokaryotes>
7777	Candidatus Saccharibacteria						Candidatus Saccharibacteria
8634	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae		Neisseriaceae bacterium DSM 100970	Neisseriaceae bacterium DSM 100970
9625	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella		Legionella
375	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus <bacteria>	Paracoccus sp. CBA4604	Paracoccus sp. CBA4604
965	Proteobacteria	Alphaproteobacteria					Alphaproteobacteria
9533	Proteobacteria						Proteobacteria
9670	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Spiribacter	Spiribacter curvatus	Spiribacter curvatus
1523	Cyanobacteria						Cyanobacteria
4109	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma		Mycoplasma
7344	Bacteroidetes <phylum>	Bacteroidia	Bacteroidales				Bacteroidales
1514	Cyanobacteria		Synechococcales	Synechococcaceae			Synechococcaceae
9741	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella sp. FSC1006	Francisella sp. FSC1006
633	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium		Sinorhizobium
886	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum		Azospirillum
1190	Spirochaetes <phylum>	Spirochaetia	Spirochaetales	Spirochaetaceae	Salinispira	Salinispira pacifica	Salinispira pacifica
1867	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium septicum	Clostridium septicum
2097	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenella	Christensenella sp. Marseille-P3954	Christensenella sp. Marseille-P3954
