	phylum	class	order	family	genus	species	taxon
504	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Thalassococcus		Thalassococcus
531	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseovarius	Roseovarius mucosus	Roseovarius mucosus
770	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Hoeflea	Hoeflea sp. IMCC20628	Hoeflea sp. IMCC20628
772	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Phyllobacterium	Phyllobacterium zundukense	Phyllobacterium zundukense
783	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia	Devosia sp. H5989	Devosia sp. H5989
843	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Haematospirillum	Haematospirillum jordaniae	Haematospirillum jordaniae
855	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Candidatus Endolissoclinum	Candidatus Endolissoclinum faulkneri	Candidatus Endolissoclinum faulkneri
856	Proteobacteria	Alphaproteobacteria			Candidatus Puniceispirillum	Candidatus Puniceispirillum marinum	Candidatus Puniceispirillum marinum IMCC1322
864	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae			Rhodospirillaceae
887	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum		Azospirillum
888	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae			Rhodospirillaceae
891	Proteobacteria	Alphaproteobacteria	Holosporales	Candidatus Paracaedibacteraceae	Candidatus Paracaedibacter	Candidatus Paracaedibacter acanthamoebae	Candidatus Paracaedibacter acanthamoebae
892	Proteobacteria	Alphaproteobacteria	Holosporales				Holosporales
897	Proteobacteria	Alphaproteobacteria					Alphaproteobacteria
898	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Candidatus Phycorickettsia	Candidatus Phycorickettsia trachydisci	Candidatus Phycorickettsia trachydisci
958	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia		Rickettsia
963	Proteobacteria	Alphaproteobacteria	Rickettsiales			Rickettsiales endosymbiont of Stachyamoeba lipophora	Rickettsiales endosymbiont of Stachyamoeba lipophora
970	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Neorickettsia		Neorickettsia
1024	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae		alpha proteobacterium HIMB59	alpha proteobacterium HIMB59
1026	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Candidatus Pelagibacter	Candidatus Pelagibacter ubique	Candidatus Pelagibacter ubique HTCC1062
1027	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae			Pelagibacteraceae
1029	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Candidatus Pelagibacter	Candidatus Pelagibacter sp. IMCC9063	Candidatus Pelagibacter sp. IMCC9063
1110	Deinococcus-Thermus	Deinococci	Deinococcales	Trueperaceae	Truepera	Truepera radiovictrix	Truepera radiovictrix DSM 17093
1278	Spirochaetes <phylum>	Spirochaetia	Brachyspirales	Brachyspiraceae	Brachyspira		Brachyspira
1306	Spirochaetes <phylum>	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira		Leptospira
1317	Cyanobacteria		Oscillatoriales	Microcoleaceae	Microcoleus	Microcoleus sp. PCC 7113	Microcoleus sp. PCC 7113
1360	Cyanobacteria		Nostocales	Rivulariaceae	Calothrix	Calothrix sp. NIES-4071	Calothrix sp. NIES-4071
1374	Cyanobacteria		Oscillatoriales	Oscillatoriaceae	Moorea <Cyanobacteria>	Moorea producens	Moorea producens PAL-8-15-08-1
1383	Cyanobacteria						Cyanobacteria
1393	Cyanobacteria		Synechococcales	Leptolyngbyaceae	Leptolyngbya	Leptolyngbya sp. PCC 7376	Leptolyngbya sp. PCC 7376
1429	Cyanobacteria		Chroococcales	Chroococcaceae	Geminocystis		Geminocystis
1430	Cyanobacteria		Chroococcales				Chroococcales
1431	Cyanobacteria						Cyanobacteria
1433	Cyanobacteria		Oscillatoriales	Oscillatoriaceae	Oscillatoria	Oscillatoria nigro-viridis	Oscillatoria nigro-viridis PCC 7112
1437	Cyanobacteria		Oscillatoriales	Oscillatoriaceae	Oscillatoria	Oscillatoria acuminata	Oscillatoria acuminata PCC 6304
1439	Cyanobacteria		Oscillatoriales				Oscillatoriales
1448	Cyanobacteria		Synechococcales	Leptolyngbyaceae	Leptolyngbya	Leptolyngbya sp. O-77	Leptolyngbya sp. O-77
1452	Cyanobacteria		Synechococcales	Leptolyngbyaceae	Leptolyngbya		Leptolyngbya
1456	Cyanobacteria						Cyanobacteria
1466	Cyanobacteria		Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. RCC307	Synechococcus sp. RCC307
1467	Cyanobacteria		Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. WH 7803	Synechococcus sp. WH 7803
1468	Cyanobacteria		Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. KORDI-100	Synechococcus sp. KORDI-100
