Sample,n16S.mean,n16S.sd,nge.mean,nge.sd,ncds.mean,ncds.sd,genome_size.mean,genome_size.sd,GC.mean,GC.sd,phi.mean,phi.sd,confidence.mean,confidence.sd
171118_9,1.646870361,0.864669234,1.59407996,1.263774801,2665.062629,1406.471951,2987055.052,1758295.101,47.56605537,14.58813678,0.431055098,0.111242085,0.498886922,0.14806067
171117_6,1.927518314,1.162131738,1.890020899,2.012565056,3093.135316,2069.675398,3587602.104,2650571.837,48.13720923,13.30023997,0.42780083,0.123014146,0.479632024,0.155235855
171125_24,1.394530672,0.868474098,1.4325071,1.111552888,2621.247065,1600.685437,2910940.056,1913464.418,46.16321986,14.27478421,0.459305796,0.08257668,0.515457257,0.111248208
171116_5,1.789762394,1.031382382,1.917414345,1.726260546,3136.717529,1786.2378,3597902.677,2246581.421,48.66551366,13.35995139,0.428312249,0.111669146,0.495945462,0.151941541
171121_11,1.6922543,0.924804972,1.763971961,1.407186392,2817.811245,1575.317225,3177056.419,1979281.618,47.66033462,15.11079961,0.448506374,0.111819568,0.505599559,0.139741231
171117_2,2.051164709,1.27804514,2.122785115,1.935922254,3094.241564,2198.922585,3654575.887,2809818.471,46.34568634,10.87229038,0.401832319,0.126684543,0.506343621,0.179772569
171124_1,1.419415805,0.864179757,1.392658715,1.134708949,2530.247065,1672.979486,2860499.006,2125939.666,44.63428897,13.93982309,0.459914667,0.083923158,0.511461114,0.112390001
171125_2,1.596399212,1.019139411,1.487571129,1.317500379,2789.318435,1718.408101,3273316.322,2184448.771,50.88264226,11.332134,0.377267036,0.126133567,0.447189721,0.185186904
171117_21,1.878757596,0.91305808,2.134048694,1.96038753,3271.659535,1675.772278,3692012.324,2095296.573,49.99759931,12.4705436,0.433554904,0.096749437,0.506445679,0.135844222
171118_7,1.864031292,1.064304732,2.175502179,2.038493009,3210.46125,2073.354911,3684525.496,2588893.4,46.53443456,13.61236324,0.427614805,0.112759358,0.49500759,0.150441399
