sample,lat,lon,temp,cond,salinity,turb,chl,pH,P,Nitrate+Nitrite,Ammonia,N,N:P,N*,15N,13C,%N,%C,Level,Level_2,Region,Envi
171117_4,1.201611,79.01353,26.9,3030,1.51368667,12.3,23.61,2.02,0.43,0.02,0.7,0.72,1.674418605,-6.16,-0.041,-26.176,0.764719792,3.723547951,low,low,Cayapas Mataje,CM River
171117_5,1.196778,79.01281,27,3018,1.504208278,6.9,21.08,3.47,0.27,0.24,0.53,0.77,2.851851852,-3.55,11.079,-26.894,0.420666824,2.649707339,low,low,Cayapas Mataje,CM River
171117_6,1.214306,79.04258,27.8,19584,10.97374726,9.3,18.83,5.97,0.22,0.17,0.24,0.41,1.863636364,-3.11,8.847,-24.217,0.464648853,3.244034219,low,low,Cayapas Mataje,CM River
171117_7,1.215083,79.042,26.9,22905,13.26721124,42.1,20.2,6.2,0.18,0.19,0.19,0.38,2.111111111,-2.5,5.827,-24.206,1.752423741,13.8147231,low,low,Cayapas Mataje,CM River
171117_8,1.216056,79.04064,26.8,24182,14.10767379,24.8,20.28,6.33,0.13,0.23,0.35,0.58,4.461538462,-1.5,7.969,-24.194,0.675573422,4.307744259,low,low,Cayapas Mataje,CM River
171117_9,1.219833,79.04039,26.9,24554,14.31472779,47.1,24.78,2.14,1.75,0,0.98,0.98,0.56,-27.02,3.024,-24.171,1.469614566,10.06528591,low,low,Cayapas Mataje,CM River
171117_10,1.222083,79.03731,27.1,22730,13.10081329,14.7,12.85,6.22,0.24,0.14,0.48,0.62,2.583333333,-3.22,7.655,-24.005,0.738945377,4.682575416,low,low,Cayapas Mataje,CM River
171117_11,1.224806,79.03286,27.3,23750,13.68637566,32.8,9.17,6.39,0.22,0.2,0.35,0.55,2.5,-2.97,5.316,-24.212,0.493497281,3.683025664,low,low,Cayapas Mataje,CM River
171117_12,1.208306,79.01481,27.4,19243,10.85683087,29.1,19.86,6.24,0.23,0.16,0.22,0.38,1.652173913,-3.3,5.956,-24.462,0.817450934,5.719270599,low,low,Cayapas Mataje,CM River
171117_13,1.20675,79.01453,27.5,19109,10.75192769,28.5,23.28,6.2,0.2,0.2,0.32,0.52,2.6,-2.68,7.872,-24.607,0.799954223,5.993738404,low,low,Cayapas Mataje,CM River
